seriesCode,sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,seriesName,bestBound,worstBound,instrumental,invert,color
sdg8_unemp,8,19.028,18.575,17.895,16.989,16.31,15.97,15.63,15.97,13.06,13.67,14.09,13.48,13.38,15.870000000000001,18.05,17.19,15.42,13.620000000000001,12.3,11.47,13.329,11.819,10.859,"Unemployment rate (% of total labor force, ages 15+)",25.9,0.5,0,1.0,#A21942
sdg5_familypl,5,39.6,35.1,32.2,30.400000000000002,30.5,31.5,32.8,34.300000000000004,36.2,37.800000000000004,39.5,41.0,42.2,43.300000000000004,44.2,45.300000000000004,46.4,47.4,48.4,49.6,50.800000000000004,52.0,53.1,Demand for family planning satisfied by modern methods (% of females aged 15 to 49),17.5,100.0,1,0.0,#FF3A21
sdg11_slums,11,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.007,0.007,0.002,0.002,0.002,0.002,0.002,Proportion of urban population living in slums (%),90.0,0.0,1,1.0,#FD9D24
sdg1_wpc,1,1.218,1.225,1.231,1.236,1.241,1.246,1.2510000000000001,1.256,1.2610000000000001,1.266,1.272,2.153,3.001,0.733,3.315,0.629,2.984,2.436,0.427,0.384,0.427,0.377,0.34600000000000003,Poverty headcount ratio at $1.90/day (%),72.6,0.0,1,1.0,#E5243B
sdg1_320pov,1,3.5580000000000003,3.573,3.585,3.594,3.601,3.607,3.613,3.618,3.622,3.629,3.637,5.74,7.791,3.8360000000000003,9.205,3.454,8.084,6.828,2.664,2.384,2.605,2.203,1.8860000000000001,Poverty headcount ratio at $3.20/day (%),51.5,0.0,1,1.0,#E5243B
sdg2_undernsh,2,20.774,20.866,21.627,22.015,22.206,21.25,20.618000000000002,20.325,20.246,19.27,18.329,17.615000000000002,17.781,17.758,17.661,17.665,17.741,17.945,17.905,17.986,18.053,18.12,18.187,Prevalence of undernourishment (%),42.3,0.0,1,1.0,#DDA63A
sdg2_stunting,2,14.717,14.732000000000001,14.741,14.743,14.737,13.001,12.987,12.968,12.947000000000001,12.928,11.722,11.714,11.711,11.712,11.714,11.054,11.057,10.973,10.978,10.741,10.746,10.75,10.754,Prevalence of stunting in children under 5 years of age (%),50.2,0.0,1,1.0,#DDA63A
sdg2_wasting,2,5.99,6.006,6.024,6.043,6.062,5.953,5.974,5.996,6.017,6.039,5.93,5.95,5.969,5.988,6.007000000000001,5.869,5.89,5.861,5.881,5.86,5.88,5.899,5.918,Prevalence of wasting in children under 5 years of age (%),16.3,0.0,1,1.0,#DDA63A
sdg2_obesity,2,14.743,15.041,15.411,15.788,16.11,16.498,16.903,17.239,17.628,18.063,18.468,18.906,19.3,19.692,20.134,20.574,21.017,21.023,21.027,21.03,21.033,21.034,21.035,"Prevalence of obesity, BMI ≥ 30 (% of adult population)",35.1,2.8,1,1.0,#DDA63A
sdg2_trophic,2,2.217,2.21,2.215,2.201,2.207,2.21,2.215,2.219,2.234,2.227,2.219,2.218,2.216,2.216,2.191,2.192,2.193,2.194,2.193,2.193,2.193,2.193,2.192,Human Trophic Level (best 2-3 worst),2.47,2.04,1,1.0,#DDA63A
sdg2_crlyld,2,3.618,3.69,3.9210000000000003,3.589,4.1450000000000005,4.064,4.099,3.203,4.3020000000000005,4.356,4.464,4.354,3.617,4.651,5.082,4.355,5.376,3.9010000000000002,5.417,5.416,5.415,5.413,5.412,Cereal yield (tonnes per hectare of harvested land),0.2,7.0,1,0.0,#DDA63A
sdg2_snmi,2,1.062,1.058,1.053,1.049,1.043,1.039,1.035,1.031,1.027,1.024,1.0230000000000001,1.022,1.02,1.018,1.016,1.016,1.016,1.016,1.0150000000000001,1.0150000000000001,1.014,1.014,1.0130000000000001,Sustainable Nitrogen Management Index (best 0-1.41 worst),1.2,0.0,1,1.0,#DDA63A
sdg3_matmort,3,15.402000427246094,15.105999946594238,14.348999977111816,14.131999969482422,13.710000038146973,13.531000137329102,12.866000175476074,12.989999771118164,12.513999938964844,12.503999710083008,12.623000144958496,12.57800006866455,11.776000022888184,11.583000183105469,11.586000442504883,11.92199993133545,11.59000015258789,11.312000274658203,11.312999725341797,11.312999725341797,11.312000274658203,11.310999870300293,11.309000015258789,"Maternal mortality rate (per 100,000 live births) ",814.0,3.4,1,1.0,#4C9F38
sdg3_neonat,3,18.771,18.512,18.289,18.143,18.026,17.922,17.798000000000002,17.667,17.515,17.316,17.482,16.965,16.797,16.616,16.455000000000002,16.249,16.063,15.862,15.639000000000001,15.385,15.139000000000001,15.183,15.23,"Neonatal mortality rate (per 1,000 live births)",39.7,1.1,1,1.0,#4C9F38
sdg3_u5mort,3,46.317,45.139,44.07,43.071,42.157000000000004,41.245,40.364000000000004,39.484,38.647,37.817,57.831,36.261,35.6,34.905,34.239,33.552,32.873,32.182,31.506,30.837,30.060000000000002,30.162,30.27,"Mortality rate, under-5 (per 1,000 live births)",130.1,2.6,1,1.0,#4C9F38
sdg3_tb,3,135.243,134.226,133.496,137.065,136.683,137.93,136.517,134.104,133.982,132.629,131.19,130.793,131.344,130.683,129.92600000000002,129.865,129.325,127.211,127.07000000000001,125.26,127.161,127.967,128.803,"Incidence of tuberculosis (per 100,000 population)",561.0,0.0,1,1.0,#4C9F38
